DraftPartId,Position,PlayOrder,MovieId,IssuedByParticipantId
6d953235-b9be-4fa9-9d32-636f6a8e5a96,1,9,92fc82aa-d9c4-43e5-8644-d272fab1cab3,424f40ce-e68f-4f71-8ab9-327c973ff65a
2971d103-0f3f-417f-aeef-fc43e70c6d9b,6,8,270c2b09-a3af-410a-952d-cd188603c85f,f84ec475-cba0-4525-a786-ccea39b90167
5a3f2d4f-ec39-4532-8a5e-493cef92a311,5,3,8debeee5-e593-4f7a-ad72-b86b79f9fe8b,d161375a-334b-4d13-b311-f66604f0fdf4
5a3f2d4f-ec39-4532-8a5e-493cef92a311,3,7,44243c8b-2636-470c-82b7-3528941a72f8,d161375a-334b-4d13-b311-f66604f0fdf4
5a3f2d4f-ec39-4532-8a5e-493cef92a311,3,8,ff93043a-5c81-42e8-8d9e-62fb63ea7bd2,d161375a-334b-4d13-b311-f66604f0fdf4
e93dd52c-64af-4be6-ab00-1774165f569a,11,1,a9617d64-027e-4248-abd7-83411a1da80b,5931091f-4c76-42d8-84dc-96bec9e3d597
4709f179-04e9-406a-892d-32d2049e621d,7,3,ab093d19-227e-4fbf-a53a-0d5673c5e39c,5931091f-4c76-42d8-84dc-96bec9e3d597
c709662e-8886-48b5-8aef-54c2299c90a7,7,1,8ac75b86-2616-491b-aa71-95f165ad7994,5931091f-4c76-42d8-84dc-96bec9e3d597
01a31bfc-96d9-4704-b14f-69235814d0d3,14,14,865af9d0-13d4-4ff9-99da-6a3ae32cb5b5,f1c4cacc-db52-4954-afa8-f0e14e61b8db
e2d7c038-eb6b-40cd-badd-7df754a3fae2,2,6,108b3e18-c267-410c-abb4-a49ff1e9d363,1b78617e-e38d-4221-b146-8c65f654156a
b5534c4c-d02c-45ea-9484-80538440e796,5,4,fbac945a-9746-47e2-a45a-323072080782,5931091f-4c76-42d8-84dc-96bec9e3d597
c90ef44d-55bd-4c2d-bd01-0348f05c05d6,1,8,64c60182-99bd-4b82-8d1b-9eac7fdcf950,bece77fe-c51d-4fd4-8180-8338d61ccecd
6111960e-2e60-45e7-8e0a-dcb59e35ee29,10,2,b7bfd9d7-49e3-42ec-bdf4-256a0e5e14f6,5931091f-4c76-42d8-84dc-96bec9e3d597
49d0699d-4f9d-4b57-9968-d4442c2bba80,2,7,f2848e77-7b16-4ce3-a94c-5ac3188f4662,17a61cb8-6c29-4ffd-9875-9f391c915884
1cc775c7-1e5e-4247-8c5f-16201dd81bcb,5,3,f4407138-ff6b-4bc2-8e76-e03d1a78949a,76476f3e-5719-48ef-9b7c-6411b7b1a44c
1cc775c7-1e5e-4247-8c5f-16201dd81bcb,5,4,b0cb88df-e6ae-42d8-aec7-633dbed1cc1e,76476f3e-5719-48ef-9b7c-6411b7b1a44c
a956400e-2d35-4b85-bd34-38d4472108d5,9,5,0b01727a-73a6-47a9-8f8c-a67ba9d23043,997d2284-f252-4fbd-89d4-78a08c3466bc
a956400e-2d35-4b85-bd34-38d4472108d5,6,10,4b84bc56-6cf6-449a-8029-5a59612c9e5e,997d2284-f252-4fbd-89d4-78a08c3466bc
26e64d58-3f66-4b5f-81db-d02b3f4e0520,7,1,c6e7bfd1-fecb-45ec-8c9e-e24f9b8b4cdf,433692bd-f082-4fbb-a4cf-bd4a5b2b5aa9
19dbfb23-1c00-4ee0-a00a-afea478cdf1b,7,1,b588ec5e-b3ba-45d0-9a4c-69f0b62de83d,5931091f-4c76-42d8-84dc-96bec9e3d597
