DraftPartId,ParticipantId,ParticipantKind,StartingVetoes,RolloverVeto,RolloverVetoOverride,TriviaVetoes,TriviaVetoOverrides,CommissionerOverrides,VetoesUsed,VetoOverridesUsed
a81276ef-0fe0-4445-9d11-d46e33e77c21,ee0e53b4-f5c8-4da0-99f1-fe0c507ec8a3,0,1,0,0,0,0,0,1,0
a81276ef-0fe0-4445-9d11-d46e33e77c21,8616eea4-ec5f-49dc-95d5-2946e4528f25,0,1,0,0,0,0,0,1,0
68f1638a-235c-4834-b812-21892f315abf,d7ce2878-88ba-4b07-8917-c7fdee5aa4bf,0,1,0,0,0,0,0,1,0
68f1638a-235c-4834-b812-21892f315abf,1fe4799c-10c1-419d-8e61-2a117d68991b,0,1,0,0,0,0,0,0,0
feaef851-ea01-4129-9283-5991dc177bef,97a72f60-336b-4f00-945e-091a348c9c6f,0,1,0,0,0,0,0,1,0
feaef851-ea01-4129-9283-5991dc177bef,7f9596c5-654e-43d2-b475-a1d4daded31d,0,1,0,0,0,0,0,1,0
03f09103-ab1d-4933-9a05-989882398807,de55fe82-462b-426d-adb4-d36f0c35c220,0,1,1,0,0,0,1,0,0
03f09103-ab1d-4933-9a05-989882398807,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0,1,1,0,0,0,0,0,0
e4b30269-7bf2-4eb5-9e6a-05c247e4b82f,b839bc3d-6d45-4651-a6e0-733c4d363256,0,1,1,0,0,0,0,1,0
e4b30269-7bf2-4eb5-9e6a-05c247e4b82f,1b98c2e8-b479-46bc-915c-0bfeba65a30e,0,1,0,0,0,0,0,1,0
1f1c148d-4c05-47fa-a8e1-9ffd5a5cf3e3,106b3def-2899-42a7-8de2-ac9ef5795bec,0,1,0,0,0,0,0,1,0
1f1c148d-4c05-47fa-a8e1-9ffd5a5cf3e3,e8b4b6b1-f4be-4000-8572-36614d54d114,0,1,0,0,0,0,0,0,0
b7020143-8eb1-42c9-ac19-0024a12ff66b,de55fe82-462b-426d-adb4-d36f0c35c220,0,1,1,0,0,0,0,0,0
b7020143-8eb1-42c9-ac19-0024a12ff66b,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0,1,1,0,0,0,0,0,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,b839bc3d-6d45-4651-a6e0-733c4d363256,0,1,1,0,0,0,0,2,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,369c07e9-dc95-4b86-bfb1-355181fe6942,0,1,1,0,0,0,0,2,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,de55fe82-462b-426d-adb4-d36f0c35c220,0,1,1,0,1,0,0,3,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0,1,1,0,0,0,0,2,0
faa9b3c9-fb4d-479c-aa96-02df9a015004,de55fe82-462b-426d-adb4-d36f0c35c220,0,1,0,0,0,0,0,1,0
