DraftPartId,Position,PlayOrder,MovieId,IssuedByParticipantIdValue,IssuedByParticipantKindValue
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,10,15,3d9f9e78-6066-4bb0-80f2-b7dbc2bc5138,369c07e9-dc95-4b86-bfb1-355181fe6942,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,10,16,b9acc8bc-1ae5-4559-b4ed-994b33f5bb6b,b839bc3d-6d45-4651-a6e0-733c4d363256,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,9,18,1bbcd79c-34af-4288-8de0-1417fd983927,de55fe82-462b-426d-adb4-d36f0c35c220,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,6,22,6d5e6369-08a0-44c2-ad96-cd16934713d1,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,6,23,b9acc8bc-1ae5-4559-b4ed-994b33f5bb6b,b839bc3d-6d45-4651-a6e0-733c4d363256,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,6,24,5f5a60a3-e7d5-4d4d-975e-9710d2d96b5a,369c07e9-dc95-4b86-bfb1-355181fe6942,0
faa9b3c9-fb4d-479c-aa96-02df9a015004,7,1,c08f4c15-9c40-4abf-806d-7fe121392e0a,de55fe82-462b-426d-adb4-d36f0c35c220,0
faa9b3c9-fb4d-479c-aa96-02df9a015004,3,6,0cc899d5-2ba7-4838-959a-4b06178a9ee1,87afafea-e0df-4cb1-b3ab-f93e12afc823,0
66284a6b-f848-41b6-b0bb-89684a79fc1c,2,6,503ade7c-1d93-4643-8a85-c63b210e27ca,70c87021-03b7-4e71-8dd4-814c059af76a,0
6286483d-74cb-477c-8463-21668488b14a,3,5,9e89a9ed-885b-4497-a550-963e398cecf9,df5e6f4f-1bb7-4b11-b45d-3fe26a88261d,0
28e9dc8a-1173-428c-8438-32f42a515d61,6,2,a62ec2e9-dbc4-42b8-bf20-11954a4d209e,5620b514-b8e3-4097-bbee-a6516493a596,0
28e9dc8a-1173-428c-8438-32f42a515d61,5,4,a5c4af39-3def-456b-b875-03ba0df02ba3,881363fc-8821-4878-9ca2-6ffcb95d45df,0
63679453-f332-4ea5-a6f2-ab5391aa42a5,5,3,6d4e3590-a38f-4f69-8b06-a39921dd0968,d901b098-dce7-4054-b468-5554fb74f6e8,0
63679453-f332-4ea5-a6f2-ab5391aa42a5,2,7,b3312d7c-fd83-4c15-ae47-75df179e28a3,b99ecef7-4602-4517-bf65-e01c9db5b365,0
50038364-676c-4731-aa57-e3f84dd5b3a4,4,4,5c29c1b8-1c14-4b4f-ac4b-fc433db8814f,b839bc3d-6d45-4651-a6e0-733c4d363256,0
41a12f41-1a13-48f0-975a-a68860b307a5,7,1,3e42abf2-f5d2-4ff4-a1ca-fa53ea81382c,e233b48c-9074-4d44-ad63-d44fbd1e6b39,0
41a12f41-1a13-48f0-975a-a68860b307a5,1,8,eea07985-0b02-49fc-8f00-d911aa28b65d,02b4240f-2a16-4ff9-bac6-6745e1d66e16,0
97478618-ee49-49fa-9b38-55d679b0223c,4,4,e18a4e53-75b9-4915-9120-c76d76eecf36,c13b24bd-3fc5-48c1-a7a6-53db25707385,0
535fd065-2192-4d96-96b9-1098931446e5,5,3,9dde7181-8142-4a1f-96f7-8e0b53101ccd,832ecd91-690a-4aa3-b06b-bc41ec72489b,0
535fd065-2192-4d96-96b9-1098931446e5,2,7,24955216-5ddc-4b5e-b275-8c64d7e166e0,2932caf4-dfbc-4147-b588-c2c11b97fa37,0
213be9ee-d48d-4ed1-b009-74c13d5dcdb2,3,5,b50d2cfe-3f09-4c5c-81f6-e8521d7eda92,97a72f60-336b-4f00-945e-091a348c9c6f,0
c4570070-9a3e-4fb9-b299-ee7a9340545b,3,5,4b506815-9395-49f6-a794-0a65c3a98a74,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0
5b4044b4-a772-4b42-a1d7-4688fee4c7ba,19,2,63307f26-2906-4e67-905c-6de3606c4832,0a0590f9-201e-466c-9b00-e9804d3dc2d9,0
5b4044b4-a772-4b42-a1d7-4688fee4c7ba,17,5,f3b2b460-f9c3-4b31-b64e-06e52d30c8fd,02b4240f-2a16-4ff9-bac6-6745e1d66e16,0
5b4044b4-a772-4b42-a1d7-4688fee4c7ba,16,7,d77cd035-075a-4ea2-8b84-afb2bae7cf59,97a72f60-336b-4f00-945e-091a348c9c6f,0
5b4044b4-a772-4b42-a1d7-4688fee4c7ba,15,9,63307f26-2906-4e67-905c-6de3606c4832,0a0590f9-201e-466c-9b00-e9804d3dc2d9,0
5b4044b4-a772-4b42-a1d7-4688fee4c7ba,3,22,b7759ab5-e0ae-4c95-a0b9-8e4d5e1eac4f,97a72f60-336b-4f00-945e-091a348c9c6f,0
5b4044b4-a772-4b42-a1d7-4688fee4c7ba,3,23,0eab9c32-93a7-4f55-996f-927cd155f30f,0a0590f9-201e-466c-9b00-e9804d3dc2d9,0
5b4044b4-a772-4b42-a1d7-4688fee4c7ba,2,25,0eab9c32-93a7-4f55-996f-927cd155f30f,1f810574-c3d3-479e-b331-578090868411,0
