drafter,title,year,imdb_id,classification,rt_percent_or_error
Billy Ray Brewton,Blow the Man Down,2019,tt8299768,FRESH,99
Graham Skipper,Night of the Living Dead,1968,tt0063350,FRESH,95
Drea Clark,The Lost World: Jurassic Park,1997,tt0119567,ROTTEN,57
Clay Keller,The Lost World: Jurassic Park,1997,tt0119567,ROTTEN,57
Drea Clark,Cloud Atlas,2012,tt1371111,FRESH,65
Clay Keller,Memento,2000,tt0209144,FRESH,94
Ryan Marker,Cocoon,1985,tt0088933,FRESH,82
Clay Keller,Avengers: Endgame,2019,tt4154796,FRESH,94
Graham Skipper,Gremlins,1984,tt0087363,FRESH,86
Clay Keller,The Matrix,1999,tt0133093,FRESH,83
Billy Ray Brewton,Superman II,1980,tt0081573,FRESH,88
Ryan Marker,Disorder,2015,tt4085084,FRESH,73
Clay Keller,"Are You There God? It's Me, Margaret.",2023,tt9185206,FRESH,99
Ryan Marker,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,tt0074254,FRESH,61
Ryan Marker,Looper,2012,tt1276104,FRESH,93
Clay Keller,Star Trek IV: The Voyage Home,1986,tt0092007,FRESH,81
Darren Franich,Star Trek IV: The Voyage Home,1986,tt0092007,FRESH,81
Ryan Marker,The Private Life of Sherlock Holmes,1970,tt0066249,FRESH,87
Ryan Marker,Magnolia,1999,tt0175880,FRESH,82
Graham Skipper,Aniara,2018,tt7589524,FRESH,70
Oriana Nudo,Imitation of Life,1959,tt0052918,FRESH,82
Oriana Nudo,Imitation of Life,1959,tt0052918,FRESH,82
Darren Franich,The House of Mirth,2000,tt0200720,FRESH,82
Clay Keller,Timeline,2003,tt0300556,ROTTEN,13
Ryan Marker,Miss Julie,2014,tt2667960,ROTTEN,54
Ryan Marker,Popeye,1980,tt0081353,FRESH,60
Ryan Marker,Two English Girls,1971,tt0066989,FRESH,89
Darren Franich,Michael Clayton,2007,tt0465538,FRESH,90
Graham Skipper,Freddy's Dead: The Final Nightmare,1991,tt0101917,ROTTEN,23
Darren Franich,"The Good, the Bad and the Ugly",1966,tt0060196,FRESH,97
Darren Franich,"The Good, the Bad and the Ugly",1966,tt0060196,FRESH,97
Billy Ray Brewton,"Oh, What a Night",1992,tt0105048,ROTTEN (TV_API),43
Clay Keller,Fargo,1996,tt0116282,FRESH,95
Drea Clark,Fargo,1996,tt0116282,FRESH,95
Oriana Nudo,West Side Story,1961,tt0055614,FRESH,92
Ryan Marker,West Side Story,1961,tt0055614,FRESH,92
Billy Ray Brewton,Winchester '73,1950,tt0043137,FRESH,100
Darren Franich,The Shining,1980,tt0081505,FRESH,84
Clay Keller,Cliffhanger,1993,tt0106582,FRESH,67
Darren Franich,A Separation,2011,tt1832382,FRESH,99
Billy Ray Brewton,Paranormal Activity,2007,tt1179904,FRESH,82
Billy Ray Brewton,Paranormal Activity,2007,tt1179904,FRESH,82
Drea Clark,A Simple Plan,1998,tt0120324,FRESH,91
Clay Keller,The Escape,2016,tt6078822,NO_RT_DATA,
Billy Ray Brewton,Labyrinth,1986,tt0091369,FRESH,64
Darren Franich,Mandy,2018,tt6998518,FRESH,91
Graham Skipper,Jason X,2001,tt0211443,ROTTEN,20
Drea Clark,Mission: Impossible - The Final Reckoning,2025,tt9603208,FRESH,80
Ryan Marker,One-Eyed Jacks,1961,tt0055257,FRESH,67
Graham Skipper,Romeo and Juliet,1968,tt0063518,FRESH,95
Oriana Nudo,My Man Godfrey,1936,tt0028010,FRESH,97
Oriana Nudo,The Out of Towners,1970,tt0066193,FRESH,63
Billy Ray Brewton,Serial Mom,1994,tt0111127,FRESH,62
Graham Skipper,Leatherface: Texas Chainsaw Massacre III,1990,tt0099994,ROTTEN,13
Drea Clark,The Long Kiss Goodnight,1996,tt0116908,FRESH,67
Oriana Nudo,Somewhere,2010,tt1421051,FRESH,71
Billy Ray Brewton,Black Dynamite,2009,tt1190536,FRESH,83
Darren Franich,Bubble,2005,tt0454792,FRESH (TV_API),72
Oriana Nudo,The Hustler,1961,tt0054997,FRESH,94
Clay Keller,"Hail, Caesar!",2016,tt0475290,FRESH,86
Billy Ray Brewton,Paranormal Activity 3,2011,tt1778304,FRESH,68
Billy Ray Brewton,The Wild and Wonderful Whites of West Virginia,2009,tt1396227,ROTTEN,56
Ryan Marker,Fool for Love,1985,tt0089160,FRESH,79
Ryan Marker,Barton Fink,1991,tt0101410,FRESH,90
Graham Skipper,Monty Python's the Meaning of Life,1983,tt0085959,FRESH,86
Billy Ray Brewton,Saving Private Ryan,1998,tt0120815,FRESH,94
Clay Keller,Confidentially Yours,1983,tt0086551,FRESH,78
Ryan Marker,Pat Garrett & Billy the Kid,1973,tt0070518,FRESH,60
Clay Keller,A Boy and His Dog,1975,tt0072730,FRESH,78
Ryan Marker,A Boy and His Dog,1975,tt0072730,FRESH,78
Bryan Cogman,How to Succeed in Business Without Really Trying,1967,tt0061791,FRESH,92
Bryan Cogman,Clear and Present Danger,1994,tt0109444,FRESH,81
Ryan Marker,First Cow,2019,tt9231040,FRESH,96
Darren Franich,First Cow,2019,tt9231040,FRESH,96
Ryan Marker,Daredevil,2015,tt3322312,FRESH (TV_API),92
Graham Skipper,Jackass: The Movie,2002,tt0322802,ROTTEN,49
Drea Clark,Shiva Baby,2020,tt11317142,FRESH,96
Clay Keller,Apollo 11,2019,tt8760684,FRESH,99
Billy Ray Brewton,Apollo 11,2019,tt8760684,FRESH,99
Darren Franich,I Walked with a Zombie,1943,tt0036027,FRESH,85
Billy Ray Brewton,Koyaanisqatsi,1982,tt0085809,FRESH,91
Billy Ray Brewton,Evolution,2001,tt0251075,ROTTEN,44
Oriana Nudo,Lilies of the Field,1963,tt0057251,FRESH,92
Billy Ray Brewton,Exorcist: The Beginning,2004,tt0204313,ROTTEN,10
Darren Franich,The Shadow,1994,tt0111143,ROTTEN,38
Billy Ray Brewton,Ulzana's Raid,1972,tt0069436,FRESH,90
Billy Ray Brewton,The Natural,1984,tt0087781,FRESH,83
Clay Keller,Guardians of the Galaxy Vol. 2,2017,tt3896198,FRESH,85
Billy Ray Brewton,Martyrs,2008,tt1029234,FRESH,66
Clay Keller,The Money Pit,1986,tt0091541,ROTTEN,52
Ryan Marker,The Money Pit,1986,tt0091541,ROTTEN,52
Ryan Marker,Kimi,2022,tt14128670,FRESH,92
Ryan Marker,The Night of the Hunter,1955,tt0048424,FRESH,93
Ryan Marker,Another Round,2020,tt10288566,FRESH,93
Darren Franich,First Reformed,2017,tt6053438,FRESH,94
Graham Skipper,Halloween,1978,tt0077651,FRESH,97
Billy Ray Brewton,Halloween,1978,tt0077651,FRESH,97
Billy Ray Brewton,The Ox-Bow Incident,1942,tt0036244,FRESH,90
Ryan Marker,Batman Returns,1992,tt0103776,FRESH,81
Graham Skipper,Batman Returns,1992,tt0103776,FRESH,81
Clay Keller,Timecrimes,2007,tt0480669,FRESH,90
Drea Clark,A Soldier's Daughter Never Cries,1998,tt0120835,FRESH,80
Bryan Cogman,The Parallax View,1974,tt0071970,FRESH,87
Clay Keller,The Terminal Man,1974,tt0072267,ROTTEN,50
Graham Skipper,The Lion King,1994,tt0110357,FRESH,92
Bryan Cogman,The Lion King,1994,tt0110357,FRESH,92
Darren Franich,North Country,2005,tt0395972,FRESH,70
Bryan Cogman,Richard III,1995,tt0114279,FRESH,96
Bryan Cogman,Hamlet,1996,tt0116477,FRESH,95
Billy Ray Brewton,"tick, tick... BOOM!",2021,tt8721424,FRESH,87
Darren Franich,Twin Peaks: Fire Walk with Me,1992,tt0105665,FRESH,66
Graham Skipper,Twin Peaks: Fire Walk with Me,1992,tt0105665,FRESH,66
Ryan Marker,Certified Copy,2010,tt1020773,FRESH,89
Drea Clark,Four Weddings and a Funeral,1994,tt0109831,FRESH,92
Ryan Marker,A Star Is Born,2018,tt1517451,FRESH,90
Bryan Cogman,Santa Fe Trail,1940,tt0033021,ROTTEN,56
Bryan Cogman,The Hunchback of Notre Dame,1939,tt0031455,FRESH,93
Ryan Marker,Mishima: A Life in Four Chapters,1985,tt0089603,FRESH,79
Ryan Marker,All About My Mother,1999,tt0185125,FRESH,98
Drea Clark,The Assassination of Jesse James by the Coward Robert Ford,2007,tt0443680,FRESH,76
Drea Clark,The Assassination of Jesse James by the Coward Robert Ford,2007,tt0443680,FRESH,76
Bryan Cogman,No Country for Old Men,2007,tt0477348,FRESH,93
Clay Keller,No Country for Old Men,2007,tt0477348,FRESH,93
Clay Keller,The Blair Witch Project,1999,tt0185937,FRESH,86
Clay Keller,The Blair Witch Project,1999,tt0185937,FRESH,86
Darren Franich,"Crouching Tiger, Hidden Dragon",2000,tt0190332,FRESH,96
Graham Skipper,I'm Still Here,2010,tt1356864,ROTTEN,53
Ryan Marker,Les Destinées,2000,tt0216689,FRESH,61
Billy Ray Brewton,Real Life,1979,tt0079781,FRESH,84
Oriana Nudo,Real Life,1979,tt0079781,FRESH,84
Billy Ray Brewton,House,1977,tt0076162,FRESH,90
Darren Franich,The Crow,1994,tt0109506,FRESH,88
Billy Ray Brewton,May December,2023,tt13651794,FRESH,91
Ryan Marker,Doom Patrol,2019,tt8416494,FRESH (TV_API),98
Oriana Nudo,The Wizard of Oz,1939,tt0032138,FRESH,98
Drea Clark,The Ballad of Wallis Island,2025,tt27674982,FRESH,97
Drea Clark,Train Dreams,2025,tt29768334,FRESH,93
Drea Clark,Sentimental Value,2025,tt27714581,FRESH,95
Bryan Cogman,Spectre,2015,tt2379713,FRESH,63
Drea Clark,3:10 to Yuma,2007,tt0381849,FRESH,89
Ryan Marker,Zack Snyder's Justice League,2021,tt12361974,FRESH,71
Drea Clark,Monty Python and the Holy Grail,1975,tt0071853,FRESH,92
Darren Franich,The Royal Tenenbaums,2001,tt0265666,FRESH,81
Bryan Cogman,The Royal Tenenbaums,2001,tt0265666,FRESH,81
Clay Keller,The Royal Tenenbaums,2001,tt0265666,FRESH,81
Bryan Cogman,The Virgin Spring,1960,tt0053976,FRESH,88
Darren Franich,The Iron Giant,1999,tt0129167,FRESH,96
Bryan Cogman,Swiss Family Robinson,1960,tt0054357,FRESH,81
Bryan Cogman,The Talented Mr. Ripley,1999,tt0134119,FRESH,85
Clay Keller,The Talented Mr. Ripley,1999,tt0134119,FRESH,85
Oriana Nudo,The Maltese Falcon,1941,tt0033870,FRESH,99
Ryan Marker,Avengers: Age of Ultron,2015,tt2395427,FRESH,75
Ryan Marker,Doctor Strange,2016,tt1211837,FRESH,89
Billy Ray Brewton,I Saw the TV Glow,2024,tt15574270,FRESH,85
Bryan Cogman,"4 Months, 3 Weeks and 2 Days",2007,tt1032846,FRESH,96
Oriana Nudo,Love in the Afternoon,1957,tt0050658,FRESH,79
Drea Clark,After Hours,1985,tt0088680,FRESH,90
Graham Skipper,Phantom of the Paradise,1974,tt0071994,FRESH,83
Ryan Marker,The New World,2005,tt0402399,FRESH,63
Graham Skipper,Little Shop of Horrors,1986,tt0091419,FRESH,91
Drea Clark,Hamnet,2025,tt14905854,FRESH,87
Graham Skipper,E.T. the Extra-Terrestrial,1982,tt0083866,FRESH,99
Ryan Marker,Moonlight,2016,tt4975722,FRESH,98
Bryan Cogman,There Will Be Blood,2007,tt0469494,FRESH,91
Bryan Cogman,GoldenEye,1995,tt0113189,FRESH,81
Billy Ray Brewton,Willard,2003,tt0310357,FRESH,64
Ryan Marker,Homeward Bound: The Incredible Journey,1993,tt0107131,FRESH,87
Oriana Nudo,North by Northwest,1959,tt0053125,FRESH,97
Drea Clark,North by Northwest,1959,tt0053125,FRESH,97
Graham Skipper,Searching for Bobby Fischer,1993,tt0108065,FRESH,98
Oriana Nudo,Gone with the Wind,1939,tt0031381,FRESH,90
Ryan Marker,The Spy Who Came in from the Cold,1965,tt0059749,FRESH,86
Bryan Cogman,Henry V,1944,tt0036910,FRESH,100
Bryan Cogman,Knights of the Round Table,1953,tt0045966,ROTTEN,50
Clay Keller,Barbary Coast,1935,tt0026097,FRESH,92
Bryan Cogman,A Christmas Carol,1951,tt0044008,FRESH,86
Billy Ray Brewton,Alien,1979,tt0078748,FRESH,93
Ryan Marker,Trances,1981,tt0406280,NO_RT_DATA,
Drea Clark,The Bostonians,1984,tt0086992,FRESH,81
Billy Ray Brewton,Pain and Glory,2019,tt8291806,FRESH,96
Billy Ray Brewton,Hero,2002,tt0299977,FRESH (TV_API),94
Graham Skipper,Man Bites Dog,1992,tt0103905,FRESH,68
Bryan Cogman,One Hundred and One Dalmatians,1961,tt0055254,FRESH,98
Bryan Cogman,The Public Enemy,1931,tt0022286,FRESH,100
Billy Ray Brewton,Sound of Metal,2019,tt5363618,FRESH,97
Ryan Marker,Erin Brockovich,2000,tt0195685,FRESH,87
Oriana Nudo,Dark Victory,1939,tt0031210,FRESH,83
Bryan Cogman,Dark Victory,1939,tt0031210,FRESH,83
Oriana Nudo,The Irishman,2019,tt1302006,FRESH,95
Ryan Marker,A Prairie Home Companion,2006,tt0420087,FRESH,81
Darren Franich,A Prairie Home Companion,2006,tt0420087,FRESH,81
Clay Keller,Physical Evidence,1989,tt0098093,ROTTEN,22
Oriana Nudo,Cape Fear,1991,tt0101540,FRESH,77
Bryan Cogman,Macbeth,2015,tt2884018,FRESH,80
Oriana Nudo,Walking on Sunshine,2014,tt2107861,ROTTEN,31
Graham Skipper,Space Truckers,1996,tt0120199,ROTTEN,17
Clay Keller,Shirkers,2018,tt7472352,FRESH,99
Billy Ray Brewton,Suspiria,1977,tt0076786,FRESH,94
Billy Ray Brewton,Dominion: Prequel to the Exorcist,2005,tt0449086,ROTTEN,29
Ryan Marker,Guillermo del Toro's Pinocchio,2022,tt1488589,ROTTEN,27
Ryan Marker,Love on the Run,1979,tt0078771,FRESH,62
Darren Franich,"Django Kill... If You Live, Shoot!",1967,tt0062082,NO_RT_DATA,
Billy Ray Brewton,4 Little Girls,1997,tt0118540,FRESH,100
Darren Franich,Lifeboat,1944,tt0037017,FRESH,90
Graham Skipper,A Nightmare on Elm Street 3: Dream Warriors,1987,tt0093629,FRESH,68
Clay Keller,Mission: Impossible III,2006,tt0317919,FRESH,73
Ryan Marker,School of Rock,2003,tt0332379,FRESH,92
Clay Keller,Design for Living,1933,tt0023940,FRESH,76
Drea Clark,Full Metal Jacket,1987,tt0093058,FRESH,90
Ryan Marker,Three Colors: Blue,1993,tt0108394,FRESH,98
Bryan Cogman,Camelot,1967,tt0061439,ROTTEN,39
Clay Keller,Star Trek,2009,tt0796366,FRESH,94
Ryan Marker,Blue Moon,2025,tt32536315,FRESH,90
Clay Keller,Disclosure,1994,tt0109635,ROTTEN,58
Graham Skipper,Hellraiser: Revelations,2011,tt1716747,ROTTEN,0
Oriana Nudo,Bob & Carol & Ted & Alice,1969,tt0064100,FRESH,82
Ryan Marker,The Young Girls of Rochefort,1967,tt0062873,FRESH,98
Drea Clark,Shirley,2020,tt8430598,FRESH,88
Oriana Nudo,A New Leaf,1971,tt0067482,FRESH,94
Ryan Marker,Superman,2025,tt5950044,FRESH,83
Clay Keller,Superman,2025,tt5950044,FRESH,83
Billy Ray Brewton,Thelma & Louise,1991,tt0103074,FRESH,87
Oriana Nudo,Casablanca,1942,tt0034583,FRESH,99
Clay Keller,S.W.A.T.,2017,tt6111130,FRESH (TV_API),90
Drea Clark,If I Had Legs I'd Kick You,2025,tt18382850,FRESH,92
Clay Keller,Ambush,2001,tt0283875,FRESH (TV_API),66
Darren Franich,Burning,2018,tt7282468,FRESH,95
Ryan Marker,Demonwarp,1988,tt0094998,ROTTEN (TV_API),29
Ryan Marker,Sword of Trust,2019,tt8484012,FRESH,94
Ryan Marker,28 Days Later,2002,tt0289043,FRESH,87
Clay Keller,Star Trek Into Darkness,2013,tt1408101,FRESH,84
Ryan Marker,Ford v Ferrari,2019,tt1950186,FRESH,92
Bryan Cogman,Theater of Blood,1973,tt0070791,FRESH,88
Clay Keller,The Piano,1993,tt0107822,FRESH,90
Billy Ray Brewton,The Quick and the Dead,1995,tt0114214,FRESH,62
Billy Ray Brewton,Darkness Falls,2003,tt0282209,ROTTEN,10
Clay Keller,Spencer,2021,tt12536294,FRESH,83
Graham Skipper,The Cabinet of Dr. Caligari,2005,tt0441741,ROTTEN,33
Graham Skipper,All Monsters Attack,1969,tt0064373,ROTTEN,38
Bryan Cogman,An American Christmas Carol,1979,tt0078764,FRESH (TV_API),61
Darren Franich,The Man Who Knew Too Much,1956,tt0049470,FRESH,89
Billy Ray Brewton,Friday the 13th Part VIII: Jason Takes Manhattan,1989,tt0097388,ROTTEN,11
Ryan Marker,The Dark Knight,2008,tt0468569,FRESH,94
Billy Ray Brewton,Tremors 3: Back to Perfection,2001,tt0259685,FRESH,80
Billy Ray Brewton,The Hills Have Eyes,1977,tt0077681,FRESH,69
Ryan Marker,Insiang,1976,tt0077740,FRESH,100
Oriana Nudo,Summer Stock,1950,tt0043012,FRESH,100
Billy Ray Brewton,The Fabelmans,2022,tt14208870,FRESH,92
Billy Ray Brewton,Halloween Ends,2022,tt10665342,ROTTEN,40
Oriana Nudo,C'mon C'mon,2021,tt10986222,FRESH (TV_API),94
Ryan Marker,Mur murs,1981,tt0081204,FRESH (TV_API),93
Darren Franich,Vanishing on 7th Street,2010,tt1452628,ROTTEN,47
Graham Skipper,"Salò, or the 120 Days of Sodom",1975,tt0073650,FRESH,71
Billy Ray Brewton,Beetlejuice,1988,tt0094721,FRESH,83
Darren Franich,The Man Who Shot Liberty Valance,1962,tt0056217,FRESH,95
Billy Ray Brewton,Borat,2006,tt0443453,FRESH,90
Drea Clark,Spellbound,1945,tt0038109,FRESH,86
Clay Keller,Spellbound,1945,tt0038109,FRESH,86
Darren Franich,Ikiru,1952,tt0044741,FRESH,98
Clay Keller,Time of the Wolf,2002,tt0307568,ROTTEN (TV_API),38
Bryan Cogman,Shame,1968,tt0063611,FRESH,67
Ryan Marker,Blaze,2018,tt6443294,FRESH,95
Billy Ray Brewton,Johnny Guitar,1954,tt0047136,FRESH,94
Darren Franich,Side Effects,2013,tt2053463,FRESH,82
Billy Ray Brewton,Empire of the Sun,1987,tt0092965,FRESH,75
Drea Clark,Dead Man,1995,tt0112817,FRESH,70
Bryan Cogman,The Outsiders,1983,tt0086066,FRESH,71
Graham Skipper,The Abominable Dr. Phibes,1971,tt0066740,FRESH,88
Ryan Marker,Blackboard Jungle,1955,tt0047885,FRESH,75
Billy Ray Brewton,Friday the 13th,2009,tt0758746,ROTTEN,26
Clay Keller,Home for the Holidays,1995,tt0113321,FRESH,63
Billy Ray Brewton,Death and the Maiden,1994,tt0109579,FRESH,84
