drafter,title,year,imdb_id,classification,rt_percent_or_error
Ryan Marker,The Hudsucker Proxy,1994,tt0110074,FRESH,61
Drea Clark,The Hudsucker Proxy,1994,tt0110074,FRESH,61
Darren Franich,X2: X-Men United,2003,tt0290334,FRESH,85
Ryan Marker,Prisioneros de la tierra,1939,tt0176049,NO_RT_DATA,
Bryan Cogman,Endless Night,1972,tt0067052,ROTTEN (TV_API),38
Ryan Marker,Fahrenheit 451,1966,tt0060390,FRESH,82
Bryan Cogman,The Magnificent Ambersons,1942,tt0035015,FRESH,89
Clay Keller,Thor: The Dark World,2013,tt1981115,FRESH,67
Bryan Cogman,The Bad News Bears,1976,tt0074174,FRESH,90
Clay Keller,Powder Keg,2001,tt0285930,NO_RT_DATA,
Ryan Marker,I'm Not There,2007,tt0368794,FRESH,76
Ryan Marker,The Big Lebowski,1998,tt0118715,FRESH,79
Drea Clark,The Big Lebowski,1998,tt0118715,FRESH,79
Ryan Marker,Time,2020,tt11416746,FRESH,98
Drea Clark,The Assistant,2019,tt9000224,FRESH,93
Clay Keller,Isle of Dogs,2018,tt5104604,FRESH,90
Billy Ray Brewton,Amazon Women on the Moon,1987,tt0092546,FRESH,65
Graham Skipper,The Texas Chainsaw Massacre: The Beginning,2006,tt0420294,ROTTEN,16
Clay Keller,X-Men: Dark Phoenix,2019,tt6565702,ROTTEN,22
Ryan Marker,Eighth Grade,2018,tt7014006,FRESH,99
Ryan Marker,Eighth Grade,2018,tt7014006,FRESH,99
Darren Franich,Fast Five,2011,tt1596343,FRESH,77
Bryan Cogman,French Connection II,1975,tt0073018,FRESH,83
Graham Skipper,Sunshine,2007,tt0448134,FRESH,77
Billy Ray Brewton,Sphere,1998,tt0120184,ROTTEN,12
Graham Skipper,Throne of Blood,1957,tt0050613,FRESH,96
Graham Skipper,Candyman,1992,tt0103919,FRESH,79
Graham Skipper,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,tt0279112,FRESH,65
Billy Ray Brewton,The Boys in Company C,1978,tt0077270,FRESH (TV_API),77
Clay Keller,The Last Metro,1980,tt0080610,FRESH,86
Clay Keller,Iron Man 2,2010,tt1228705,FRESH,72
Bryan Cogman,Bram Stoker's Dracula,1992,tt0103874,FRESH,69
Bryan Cogman,The Story of Robin Hood and His Merrie Men,1952,tt0045197,FRESH (TV_API),65
Clay Keller,Crash,1996,tt0115964,FRESH,66
Graham Skipper,Christmas Evil,1980,tt0081793,ROTTEN,57
Clay Keller,Desperately Seeking Susan,1985,tt0089017,FRESH,86
Ryan Marker,High Life,2018,tt4827558,FRESH,83
Clay Keller,Certain Women,2016,tt4468634,FRESH,92
Billy Ray Brewton,Meek's Cutoff,2010,tt1518812,FRESH,86
Billy Ray Brewton,The Big Country,1958,tt0051411,FRESH,100
Graham Skipper,Phantasm,1979,tt0079714,FRESH,72
Clay Keller,The Grand Budapest Hotel,2014,tt2278388,FRESH,92
Oriana Nudo,The Color of Money,1986,tt0090863,FRESH,87
Billy Ray Brewton,The Carey Treatment,1972,tt0068337,FRESH,60
Billy Ray Brewton,Waves,2019,tt8652728,FRESH,84
Ryan Marker,"O Brother, Where Art Thou?",2000,tt0190590,FRESH,78
Clay Keller,"O Brother, Where Art Thou?",2000,tt0190590,FRESH,78
Graham Skipper,Tromeo and Juliet,1996,tt0114733,FRESH (TV_API),61
Billy Ray Brewton,Jurassic Park,1993,tt0107290,FRESH,91
Graham Skipper,Event Horizon,1997,tt0119081,ROTTEN,36
Ryan Marker,Barcelona,1994,tt0109219,FRESH,83
Bryan Cogman,The Quatermass Xperiment,1955,tt0049646,FRESH,91
Bryan Cogman,3:10 to Yuma,1957,tt0050086,FRESH,94
Darren Franich,3:10 to Yuma,1957,tt0050086,FRESH,94
Clay Keller,Adventureland,2009,tt1091722,FRESH,89
Drea Clark,After Yang,2021,tt8633464,FRESH,89
Billy Ray Brewton,After Yang,2021,tt8633464,FRESH,89
Graham Skipper,Lake Mungo,2008,tt0816556,FRESH,96
Graham Skipper,Coriolanus,2011,tt1372686,FRESH,92
Clay Keller,American Honey,2016,tt3721936,FRESH,80
Oriana Nudo,"To Sir, with Love",1967,tt0062376,FRESH,90
Graham Skipper,The Last Starfighter,1984,tt0087597,FRESH,76
Clay Keller,Spring Breakers,2012,tt2101441,FRESH,67
Darren Franich,Spring Breakers,2012,tt2101441,FRESH,67
Darren Franich,Spring Breakers,2012,tt2101441,FRESH,67
Billy Ray Brewton,Marriage Story,2019,tt7653254,FRESH,95
Bryan Cogman,52 Pick-Up,1986,tt0090567,ROTTEN,58
Billy Ray Brewton,A Nightmare on Elm Street,1984,tt0087800,FRESH,94
Graham Skipper,Robot Jox,1989,tt0102800,ROTTEN,40
Bryan Cogman,His Girl Friday,1940,tt0032599,FRESH,99
Clay Keller,Panic Room,2002,tt0258000,FRESH,76
Billy Ray Brewton,Halloween,2018,tt1502407,FRESH,79
Graham Skipper,WarGames,1983,tt0086567,FRESH,93
Graham Skipper,Titus,1999,tt0120866,FRESH,69
Billy Ray Brewton,The Hand of God,2021,tt12680684,FRESH,83
Clay Keller,A Gorgeous Girl Like Me,1972,tt0069442,FRESH (TV_API),63
Billy Ray Brewton,The Mist,2007,tt0884328,FRESH,74
Billy Ray Brewton,The Mist,2007,tt0884328,FRESH,74
Graham Skipper,Halloween II,2009,tt1311067,ROTTEN,25
Billy Ray Brewton,Bad Santa,2003,tt0307987,FRESH,78
Billy Ray Brewton,Legend,2015,tt3569230,FRESH,60
Bryan Cogman,Three Days of the Condor,1975,tt0073802,FRESH,88
Bryan Cogman,Three Days of the Condor,1975,tt0073802,FRESH,88
Graham Skipper,Hellraiser: Deader,2005,tt0337636,ROTTEN,10
Ryan Marker,Hustle,2022,tt8009428,FRESH,94
Clay Keller,The Ladykillers,2004,tt0335245,ROTTEN,54
Oriana Nudo,Now and Then,1995,tt0114011,ROTTEN,36
Billy Ray Brewton,Frailty,2001,tt0264616,FRESH,76
Darren Franich,The Idiots,1998,tt0154421,FRESH,73
Ryan Marker,The Lighthouse,2019,tt7984734,FRESH,90
Billy Ray Brewton,Misery,1990,tt0100157,FRESH,86
Darren Franich,I Live in Fear,1955,tt0048198,FRESH,73
Drea Clark,The Accidental Tourist,1988,tt0094606,FRESH,82
Bryan Cogman,Stagecoach,1986,tt0092003,ROTTEN (TV_API),42
Oriana Nudo,Mass,2021,tt11389748,FRESH,95
Bryan Cogman,The Sound of Music,1965,tt0059742,FRESH,83
Clay Keller,Miss Firecracker,1989,tt0097892,FRESH,82
Bryan Cogman,Ten Little Indians,1987,tt0092879,FRESH (TV_API),71
Graham Skipper,Predator,1960–1968,tt0093773,FRESH,65
Clay Keller,Coraline,2009,tt0327597,FRESH,91
Darren Franich,X-Men: The Last Stand,2006,tt0376994,ROTTEN,56
Ryan Marker,The Man Who Wasn't There,2001,tt0243133,FRESH,81
Billy Ray Brewton,A Midnight Clear,1992,tt0102443,FRESH,88
Oriana Nudo,Ready or Not,2019,tt7798634,FRESH,89
Billy Ray Brewton,Eaten Alive,1976,tt0074455,ROTTEN,29
Darren Franich,Avengers: Infinity War,2018,tt4154756,FRESH,85
Clay Keller,The Naked Gun,2025,tt3402138,FRESH,88
Ryan Marker,Citizen Ruth,1996,tt0115906,FRESH,81
Bryan Cogman,The Rules of the Game,1939,tt0031885,FRESH,97
Graham Skipper,A Nightmare on Elm Street,2010,tt1179056,ROTTEN,14
Billy Ray Brewton,World's Greatest Dad,2009,tt1262981,FRESH,88
Bryan Cogman,Moonraker,1979,tt0079574,ROTTEN,59
Oriana Nudo,The Apartment,1960,tt0053604,FRESH,93
Graham Skipper,Julius Caesar,1953,tt0045943,FRESH,97
Bryan Cogman,You Only Live Twice,1967,tt0062512,FRESH,73
Ryan Marker,Black Bear,2020,tt9601220,FRESH,89
Graham Skipper,Hellraiser III: Hell on Earth,1992,tt0104409,ROTTEN,39
Billy Ray Brewton,Halloween II,1981,tt0082495,ROTTEN,34
Clay Keller,Miller's Crossing,1990,tt0100150,FRESH,93
Billy Ray Brewton,Prey,2022,tt11866324,FRESH,94
Clay Keller,Clean,2021,tt10023022,ROTTEN,44
Billy Ray Brewton,Lucas,1986,tt0091445,FRESH,76
Ryan Marker,Captain America: The Winter Soldier,2014,tt1843866,FRESH,90
Ryan Marker,Superman,1978,tt0078346,FRESH,87
Ryan Marker,Superman,1978,tt0078346,FRESH,87
Bryan Cogman,Superman,1978,tt0078346,FRESH,87
Billy Ray Brewton,The History Boys,2006,tt0464049,FRESH,66
Drea Clark,Pieces of a Woman,2020,tt11161474,FRESH,76
Clay Keller,U.S. Marshals,1998,tt0120873,ROTTEN,31
Clay Keller,Blood Simple,1984,tt0086979,FRESH,94
Billy Ray Brewton,Best in Show,2000,tt0218839,FRESH,93
Ryan Marker,Best in Show,2000,tt0218839,FRESH,93
Darren Franich,The Lady from Shanghai,1947,tt0040525,FRESH,86
Bryan Cogman,I Am a Fugitive from a Chain Gang,1932,tt0023042,FRESH,96
Clay Keller,Trouble in Paradise,1932,tt0023622,FRESH,90
Billy Ray Brewton,The 'Burbs,1989,tt0096734,ROTTEN,57
Graham Skipper,Floating Weeds,1959,tt0053390,FRESH,96
Bryan Cogman,Easy Living,1949,tt0041328,ROTTEN,40
Billy Ray Brewton,The Armstrong Lie,2013,tt1638364,FRESH,82
Drea Clark,Juno,2007,tt0467406,FRESH,93
Bryan Cogman,Bottle Rocket,1996,tt0115734,FRESH,86
Bryan Cogman,Chinatown,1974,tt0071315,FRESH,98
Drea Clark,El Mariachi,1992,tt0104815,FRESH,91
Clay Keller,River of Grass,1994,tt0110998,FRESH,95
Ryan Marker,Inherent Vice,2014,tt1791528,FRESH,73
Billy Ray Brewton,True History of the Kelly Gang,2019,tt4844140,FRESH,80
Billy Ray Brewton,Westworld,1973,tt0070909,FRESH,83
Bryan Cogman,They Died with Their Boots On,1941,tt0034277,FRESH,71
Billy Ray Brewton,Paradise Lost 3: Purgatory,2011,tt2028530,FRESH,100
Ryan Marker,Heaven's Gate,1980,tt0080855,ROTTEN,57
Bryan Cogman,The Conversation,1974,tt0071360,FRESH,94
Bryan Cogman,The Conversation,1974,tt0071360,FRESH,94
Oriana Nudo,Knives Out,2019,tt8946378,FRESH,97
Billy Ray Brewton,The Thing,1982,tt0084787,FRESH,85
Graham Skipper,The Thing,1982,tt0084787,FRESH,85
Ryan Marker,The Thing,1982,tt0084787,FRESH,85
