"id","movie_title","imdb_id"
e0a4704f-ca63-4e1a-aaa7-3e1c2f6093e7,Enemy of the State,tt0120660
e68dc98d-ba18-4bd5-bccc-52d17660984a,Equilibrium,tt0238380
f219530d-f4b5-440b-84bc-c6ea29b4a489,"24 Hours",tt0295222
"4d8de252-1aec-42a1-84b2-d28a14835f28",Eraserhead,tt0074486
b38a5b75-737c-46e2-a563-edd3383e87d0,Erin Brockovich,tt0195685
bf4ec098-b20b-4a65-8a61-b0ee9b223910,Escape from New York,tt0082340
"69eb4fbf-369b-4d15-9445-f77039c64f0e",Escape from the Planet of the Apes,tt0067065
a02b2f58-3d32-4e32-a63a-8292ff4ff292,Escape to Witch Mountain,tt0072951
c053854c-2184-4418-b95e-e423d5113e54,Eternal Sunshine of the Spotless Mind,tt0338013
"21505d11-0a7d-4209-baf6-53d2cdb98c1a",Eternals,tt9032400
"8fba8f43-d893-419e-b66e-40c45aa6faa6",Event Horizon,tt0119081
"604f4119-ecec-4004-94d1-85637b2039f3",Everybody Wants Some!!,tt2937696
f8a5a7af-384b-47ec-bf13-0ab81f4524b8,Everything Everywhere All at Once,tt6710474
bd0a6759-618b-4bbc-9888-465a50edfae7,Eve's Bayou,tt0119080
c13d90bf-a137-4e1b-ae94-35fcfcc716f2,Evil Dead II,tt0092991
d40365b0-4b08-46bb-8325-0d29ff51296c,Evil Dead Rise,tt13345606
"7680641a-62c0-4398-9366-6f34dc2dee56",Evolution,tt0251075
"020c9c65-26ad-4b19-8b23-46d5e7f8fe12",Ex Libris,tt6209282
"79845d67-96e5-46f1-9c23-3fcdca2ceadd",Ex Machina,tt0470752
c2f6af6a-4895-4863-a1c3-d4daae2968de,Excalibur,tt0082348
"4aa8bc0e-7432-49c8-84ef-b580774d8d80",Exorcist: The Beginning,tt0204313
"81243f8c-229e-46c0-847c-3a1ccb0167e8",Extreme Close-Up,tt0070048
"596f4020-a76e-41a1-8c4e-3606f8ba2698",Extremely Loud & Incredibly Close,tt0477302
ab191b0e-dfdf-4daa-9b18-13f739f9d495,Eye of the Beholder,tt0120662
"9ac91365-a581-4ba5-ba4a-ec065c782beb",Eyes Wide Shut,tt0120663
"412deb37-ff61-4733-8107-ca84e0fd84b3",F for Fake,tt0072962
b8f2d7e4-d691-4cda-b607-a533182ef398,Face/Off,tt0119094
"74fbb22f-05c5-4968-93f6-8ef48b99387b",Faces of Death,tt0077533
a1d30775-e49e-44b3-a8bb-995b022d047a,Fahrenheit 451,tt0060390
"4eec1e19-0349-48f8-8347-f5941086c2b4",Falling Down,tt0106856
c57fbfff-f128-4d9e-b9cd-e7b0224ea07f,Family Plot,tt0074512
b4e3a822-fcb8-408f-9f3b-d60f3542e3a4,Fancy Dance,tt21813994
eaed452d-9011-4afe-aaf0-1998b7f04783,Fanny and Alexander,tt0083922
a9785eb4-6bdb-46d7-ae5a-f737fe7f5ffa,Fantasia,tt0032455
"3732236b-6d8a-4700-97b1-f40d7f19c837",Fantastic Mr. Fox,tt0432283
"53b6bc7b-2ea0-4720-a052-a3ef057f0334",Fargo,tt2802850
"83330eab-c616-4423-a5d8-cf43b2802f2f",Fast Company,tt0079138
"0bd4ceff-f6f5-45b1-8986-17f873f60a24",Fast Five,tt1596343
"54a8741e-4316-4c4e-8766-e99006d34ce0",Faster,tt1433108
e5fb44bc-0295-4c95-9b68-a0454492f906,Fat Kid Rules the World,tt1995304
ec4b8330-e002-4654-a573-5c68c927434f,Fear,tt0116287
"53a89a44-2540-4cb2-80c0-c767420ba96b",Feardotcom,tt0295254
fbbf7a36-c5d4-4067-b50a-da72a36bd37a,Felicia's Journey,tt0165773
"09626220-e6e3-45b6-b16e-42753653d191",Female Trouble,tt0072979
"5b8a2a88-5654-4704-b23e-78a1a8f7caf8",Fences,tt2671706
"7ce02ebd-85f4-46d2-b012-a41733cbe9d2",Ferrari,tt3758542
d5668453-bb6d-47d8-813b-032a01a03065,Field of Dreams,tt0097351
"9f29ed26-335c-456e-b43d-2c616c960503",Fight for Your Life,tt0076023
e60b3d0f-3ba0-43be-bbd7-ea879406ca09,Final Destination,tt0195714
"83678e5d-8020-47c7-8874-fdda537f4e58",Final Fantasy: The Spirits Within,tt0173840
af8bf883-acf6-4e1b-8147-e25c1221b3d5,Find Me Guilty,tt0419749
"25f8cfe0-ca78-4b66-94f0-24b8d4e9e12e",Finding Dory,tt2277860
"9f063397-81ac-4923-a968-cbc89bb15119",Finding Nemo,tt0266543
"66305bcd-573d-4f95-8fc7-a408ba409b4a",Finian's Rainbow,tt0062974
