"id","readable_id","title","draft_type","total_picks","total_drafters","total_hosts","episode_number","draft_status","created_at_utc","updated_at_utc","is_patreon_only","episode_type"
b55ff44e-84cd-46bc-ab30-eaaf9a9acd69,275,Humphrey Bogart,0,7,2,2,"33",3,2025-03-20 11:55:41.706 -0400,,false,0
b5bae5a6-2f4f-47fd-a519-d694bb053657,276,Booed at Cannes,0,7,2,2,"278",3,2025-03-20 11:55:42.904 -0400,,false,0
b7665f30-7337-4d69-bb39-29303956f6f6,277,Comedians First Dramas,0,7,2,2,"2",3,2025-03-20 11:55:43.764 -0400,,true,5
b793efb0-44ef-4947-a96d-8583b6c479e7,278,Two Thumbs Down,0,7,2,2,"252",3,2025-03-20 11:55:42.721 -0400,,false,0
b9896e1b-dd4e-4b0b-b84e-267d66c8f263,279,Blumhouse,0,7,2,2,"250",3,2025-03-20 11:55:42.710 -0400,,false,0
b9b95f8a-1406-437d-8147-45de0d51a505,280,Dirty Harry mini-Super Draft,4,5,2,0,"26",3,2025-03-20 11:55:43.367 -0400,,true,1
b9beef25-6b2c-40ae-9fe7-2f3f7659148c,281,Classic Hammer Horror mini-Mega,1,13,3,2,"301",3,2025-03-20 11:55:43.073 -0400,,false,0
bb584c89-088c-4377-b7e1-eba3ad771f0c,282,Serious Kids,0,7,2,2,"40",3,2025-03-20 11:55:41.726 -0400,,false,0
bbd2436e-8e7d-4456-8f20-f626fffdde2e,283,Ray Harryhausen,0,7,2,2,"180",3,2025-03-20 11:55:42.333 -0400,,false,0
bd078444-ff72-49a0-a08f-6ca1a64b202b,284,Con Artist,0,7,2,2,"89",3,2025-03-20 11:55:41.895 -0400,,false,0
bded7237-6e11-4ca3-80b9-ad3a252bdc2d,285,The Afterlife,0,7,2,2,"275",3,2025-03-20 11:55:42.885 -0400,,false,0
bf6978d1-e9ba-49a5-99cf-41613669828d,286,"21st Century Female Action",0,7,2,2,"178",3,2025-03-20 11:55:42.325 -0400,,false,0
c0276097-c06f-463f-a622-aef66599b67c,287,F Cinemascore Super Draft,3,21,4,2,"190",3,2025-03-20 11:55:42.378 -0400,,false,0
c114a32a-aa54-4cd5-9abd-63d29c234d44,288,Serial Killer,0,7,2,2,"157",3,2025-03-20 11:55:42.207 -0400,,false,0
c180ce54-3772-410e-a3e4-36be05e6ca24,289,"1950 Best Picture",4,5,2,0,"2",3,2025-03-20 11:55:43.749 -0400,,true,4
c2b7e9a8-4c98-4476-8ed9-685f744dc18e,290,Private Eyes,0,7,2,2,"125",3,2025-03-20 11:55:42.048 -0400,,false,0
c34e6af1-32a8-4d28-8941-3ae922470431,291,Twist Endings,0,7,2,2,"15",3,2025-03-20 11:55:41.663 -0400,,false,0
c36b35bf-dcaa-4d2d-9590-b9d928e32fc6,292,MCU Super Draft,3,21,4,0,"23",3,2025-03-20 11:55:41.679 -0400,,false,0
c4d0254c-4174-42a5-91c8-cb40f6f35be8,293,A24 Horror,0,7,2,2,"204",3,2025-03-20 11:55:42.450 -0400,,false,0
c63629bd-dfaa-44bb-8c37-ef4c5b5ce91c,294,A Christmas Carol,0,7,2,1,"109",3,2025-03-20 11:55:41.976 -0400,,false,0
c65f0ce6-54f2-4f11-b4cd-f0662ce44c77,295,’60s Musicals,0,7,2,2,"82",3,2025-03-20 11:55:41.873 -0400,,false,0
c6d51a1a-b35f-457a-83e1-9af9dd6f5d2c,296,Stephen King mini-Mega,1,13,4,2,"267",3,2025-03-20 11:55:42.836 -0400,,false,0
c706180d-ddd1-4955-ad3a-2cc2b3d5060c,297,Drag,0,7,2,2,"103",3,2025-03-20 11:55:41.950 -0400,,false,0
c71f3eaa-daa7-4398-91ad-a07dc8bc14d4,298,Disney Animation Studios 2D,0,7,2,2,"34",3,2025-03-20 11:55:41.708 -0400,,false,0
c7409a08-c74a-4216-949b-7da303aaaba2,299,Nicolas Cage Mega Draft,2,20,4,2,"41",3,2025-03-20 11:55:41.729 -0400,,false,0
c77f2d13-435d-4b07-8299-29829cbcbf4a,300,Horror Remakes,0,7,2,2,"99",3,2025-03-20 11:55:41.932 -0400,,false,0
ca5590f1-3787-4fd0-9b18-f626990682c0,301,Vintage Con Artist,0,7,2,2,"202",3,2025-03-20 11:55:42.437 -0400,,false,0
caa69140-c030-4219-bada-538233cedca2,302,Ralph Bakshi Super Draft,3,10,2,2,"257",3,2025-03-20 11:55:42.758 -0400,,false,0
cb86a2f3-a88c-4ba5-926d-886275ea22ec,303,Courtroom Movies,0,7,2,2,"173",3,2025-03-20 11:55:42.300 -0400,,false,0
ccdfd645-dcfb-482f-b319-33aeb155418f,304,Holiday Horror (Non Christmas & Halloween),0,7,2,2,"304",3,2025-03-20 11:55:43.095 -0400,,false,0
cd54fb98-8679-4adb-bc07-97dfe59ef5fa,305,Comic Book (Non-Superhero),0,7,2,2,"90",3,2025-03-20 11:55:41.899 -0400,,false,0
cd627ecc-0b65-46c0-82a1-1a9532e20aec,306,Sketch Comedy Anthologies,0,7,2,2,"88",3,2025-03-20 11:55:41.892 -0400,,false,0
ce49166c-6df3-48ed-b5a8-37e18cc8fc3f,307,'90s Superhero,0,7,2,2,"242",3,2025-03-20 11:55:42.661 -0400,,false,0
