Id,Title,Imdb_Id
2c8b1bb1-5cc8-43dd-bb43-4f7f8fd95fe8,Alien vs. Predator,tt0370263
0bfe28fc-6794-4a8b-8eb0-9a15971cc991,Alien: Covenant,tt2316204
6ad9f06b-e09d-4d3f-8c0c-af861a844282,Alien: Resurrection,tt0118583
d55333d0-9a16-4db7-8c4a-8d7da1efb75c,Aliens,tt0090605
5268904a-f09c-4383-8805-35c93fef20d8,Aliens vs Predator: Requiem,tt0758730
47ac2126-2a39-4dab-ad97-da9da8b55133,All About My Mother,tt0185125
7aae7039-a117-4c0a-bd16-59b1cc7e8b83,All Dogs Go to Heaven,tt0096787
b4d2331d-6fe1-4f90-89c8-a222668d95bb,All is True,tt9206798
4a1dee09-8d75-48e8-aac6-24093530b286,All Monsters Attack,tt0064373
c6994f83-9762-4dc2-a288-60be784965ce,All Night Long,tt0054614
04b8c168-85ff-43cf-a8c8-ed4007031a2d,All of Us Strangers,tt21192142
0c5f2322-29e9-4681-8169-5baa22f39ea4,All Quiet on the Western Front,tt1016150
a34e8baa-a000-4474-b0b1-72a26ae7ba06,All the Beauty and the Bloodshed,tt21374850
6573ad4c-8e74-4396-b490-47e386083556,All the Fine Young Cannibals,tt0053582
211af4cc-1179-4675-97cb-333b96145193,All the President's Men,tt0074119
edf686ee-8caa-4e76-91e9-11086f642338,All We Imagine as Light,tt32086077
e6336e50-73f2-4d3b-951e-c6ced3a7ee21,Alligator,tt0080354
3b8a9921-046f-4e5d-9bf4-e070c0354d26,Almost Famous,tt0181875
3755da2e-04e9-4d57-8d48-d8ee2e45588e,Alone in the Dark,tt0369226
023f0171-e421-4f44-802e-9e5f77aff623,Always,tt0096794
6f22fa69-a4d9-45c5-bfd0-315a412325f8,Amarcord,tt10264444
5464cb77-5fbd-49ed-8d3a-b97e453c40bf,Amazon Women on the Moon,tt0092546
fdd2f3d0-fa52-4cb7-85b8-ce3fc7593a7e,American Beauty,tt0169547
17f4d2c5-d7aa-417f-a6ef-bf4e95595364,American Dream,tt0099028
7aba591d-c0d1-4688-a16e-30d55fb970d3,American Gangster,tt0765429
2563ea98-10b6-495c-9d3e-41f076d18a32,American Graffiti,tt0069704
7f51754c-a38c-43b3-a9b2-b5ac5e4e0e74,American Honey,tt3721936
9427ba63-9803-4b53-91ca-bdd5b3df8aff,American Hustle,tt1800241
adc03c90-77b0-4191-a44a-d78322f7d621,American Movie,tt0181288
2a3a2469-9b48-40e4-98a9-e49519d4abbc,American Pop,tt0082009
f13571ba-a5a6-4a25-a2b4-0ad4215c6376,American Psycho,tt0144084
8d9d4332-391a-466b-859f-650a745e2ab0,Amistad,tt0118607
b972e8dc-4537-4765-867f-170881f37889,Amityville 1992: It’s About Time,tt0103678
c8d0f3f8-81bc-4470-b52c-86bb52977208,An American Christmas Carol,tt0078764
16c3c2e4-1628-4d30-a29e-97306fde69de,An American in Paris,tt0043278
300ca17a-df3c-4d4f-af9c-617d4675599f,An American Tail,tt0090633
8782e1e1-a3e9-4ed3-958f-2730f2ede17a,An American Tail: Fievel Goes West,tt0101329
89b178e0-bb45-4250-b090-c5556daec5c2,An American Werewolf in London,tt0082010
6d4beefe-02a5-4a77-8021-53417a05a9f1,An Unexpected Christmas,tt15766640
107a2f7e-d90f-4b6f-beb6-ab42e8fa4495,Anastasia,tt0118617
f18fd744-18df-467e-bd52-e79853e32b24,Anatomy of a Fall,tt17009710
4af22ded-8e9b-4686-8ce2-01baa7098eeb,Anatomy of a Murder,tt0052561
37acf51e-8d82-4bc0-ab8a-698a1653a913,Anchorman: The Legend of Ron Burgundy,tt0357413
237914a2-c00a-45a1-86ae-d90870996c87,Aniara,tt7589524
4ef84520-c440-4574-ac09-e3cadca332fc,Animal Kingdom,tt5574490
c5bfe5da-901d-4ec3-8c28-cdda76f5e497,Anne of the Thousand Days,tt0064030
d8b13ee6-c9e4-4dc0-8b97-8464d8e4884c,Annihilation,tt2798920
5c835508-0372-4a15-b414-b2f45b7c25c0,Anomalisa,tt2401878
505854e9-74db-4e1f-a464-d43f2ad046f2,Anora,tt28607951
67173bc1-c819-4079-9bec-b67361c0818b,Another Round,tt10288566
98e78c9f-78cd-4261-8108-fcee53793769,Ant-Man,tt0478970
f2527d3e-a863-4e8f-a979-acbef8bd0de4,Ant-Man and the Wasp,tt5095030
00f76bad-9e02-4442-a288-e0eed656813a,Antony and Cleopatra,tt0068920
bd3f1f90-3156-4192-a801-66e5a70d4510,Antropophagus,tt0082479
3ada41dd-e56d-4b82-940d-3b2b57d4ec19,Apocalypse Now,tt0078788
643939a2-95a7-4d79-9bef-aa2f0cb6fee4,Apocalypse Now,tt0078788
8ec4785d-4602-4357-96af-b7dc314fe6fa,Apollo 11,tt8760684
04fb3fcb-b943-4474-b51b-2f66ccb49274,Apollo 13,tt0112384
b11cf838-38b4-4451-bc86-6974b26816aa,Arachnophobia,tt0099052
bafb7182-e631-4cc8-90bb-540dd31dfcf6,"Are You There God? It's Me, Margaret.",tt9185206
0466895b-ea81-4036-b432-fddef939890a,Army of Darkness,tt0106308
8cc4a6fd-1216-436f-bce1-801d30f361a8,Arrival,tt2543164
818185bf-d12c-4576-84b7-43779c4dc3ae,Arsenic and Old Lace,tt0036613
f2d2c4ef-41d1-4952-8352-78a265652bf3,Assassin's Creed,tt2094766
126ad656-7efc-4937-b6d8-5558683386b1,Assault on Precinct 13,tt0074156
81862d53-9909-4ffd-a944-b75d2d4b3e39,Asteroid City,tt14230388
cd77031c-08f2-40eb-8abc-049888fab77a,Atomic Blonde,tt2406566
0c75a098-7901-48fe-afe3-c46c2d21f2ff,Attack the Block,tt1478964
75389eca-8649-4f49-abff-2b3d3b18c23d,Au Revoir les Enfants,tt0092593
58e3931c-f6c3-4133-beaa-b915fa7c142e,Austenland,tt1985019
5b1ef0ba-75c8-4d21-aded-401b4d653b24,Austin Powers: International Man of Mystery,tt0118655
187150c2-ee73-42cc-9460-eabf4678d682,Autumn Sonata,tt0077711
f37350d1-9798-4689-b889-7ab2d798355e,Avatar,tt0499549
71a6a1e0-e03a-42a2-b9fe-d02f672a7d53,Avatar: The Way of Water,tt1630029
7fa05688-a1a5-49e5-aaa8-aa64ad2c8b84,Avengers: Age of Ultron,tt2395427
56a2ae20-e0cd-4edf-aa42-d32931c1590a,Avengers: Endgame,tt4154796
03d2cc5b-1ef8-4c0e-ad6d-4bd5f12ac8f6,Avengers: Infinity War,tt4154756
d7677d09-573e-49c1-ac25-092f8c2baf31,Away from Her,tt0491747
392be047-e796-48e2-853f-236167ece10b,Baby Face,tt0023775
f2f70e3c-9e74-4b9f-ad70-5001a20693c4,Babylon,tt10640346
9211c411-40aa-4a89-a968-42b290fcfdf0,Back to the Future,tt0088763
8ee322cc-ff6b-4ebd-b988-c1d2de09183d,Back to the Future Part II,tt0096874
958d1911-5b8e-45cb-b686-db0ed2ed59fe,Back to the Future Part III,tt0099088
1796d0fc-8fd8-4a02-bdfa-58af99a9eec1,Bad Boys,tt0112442
