"id","readable_id","title","draft_type","episode_type","total_picks","total_drafters","total_drafter_teams","total_hosts","episode_number","draft_status","created_at_utc","updated_at_utc","is_patreon_only","non_canonical"
"021d8222-b169-4f9b-8cfa-0163d08a6b62",1,Blumhouse,0,0,7,2,0,2,"250",3,2025-03-28 07:16:16.588 -0400,,false,false
"0333905c-04f1-41ef-8bc2-8524b7fc40a2",2,Lynn Shelton Super Draft,3,0,8,2,0,2,"272",3,2025-03-28 07:16:16.592 -0400,,false,false
"03f83e2c-3925-41bd-90be-e8bb60dde23c",3,Tobe Hooper,0,0,7,2,0,2,"206",3,2025-03-28 07:16:16.580 -0400,,false,false
"0474d3c0-268d-47fc-9a29-44314c3e6480",4,Agnès Varda,0,0,7,2,0,1,"200",3,2025-03-28 07:16:16.579 -0400,,false,false
"0579ebca-89d5-4fd4-8158-34561a0adc27",5,Horror Remakes,0,0,7,2,0,2,"99",3,2025-03-28 07:16:16.560 -0400,,false,false
"06083dda-00ab-4215-a597-ff70227c0bd2",6,Spielberg Produced Mega Draft,2,0,20,0,3,1,"217",3,2025-03-28 07:16:16.582 -0400,,false,false
"0754606f-4e74-4655-b3e8-ff567481e294",7,Kelly Reichardt Super Draft,0,0,7,2,0,1,"126",3,2025-03-28 07:16:16.565 -0400,,false,false
"07a15e33-ffca-4224-87e8-46073efec33a",8,Dog Movies,0,0,7,2,0,1,"24",3,2025-03-28 07:16:16.545 -0400,,false,false
"099d28dd-26f3-4074-98ad-620975a0f920",9,Jacques Demy Connected Universe mini-Super Draft,4,1,5,2,0,0,"23",3,2025-03-28 07:16:16.603 -0400,,true,false
"09df42df-0b32-4201-9725-526aee897927",10,'90s Action Mega Draft,2,0,20,4,0,2,"46",3,2025-03-28 07:16:16.550 -0400,,false,false
"0b064375-dddb-425b-85e5-4d4db36cb3ff",11,Arthouse Christmas,0,0,7,2,0,2,"56",3,2025-03-28 07:16:16.552 -0400,,false,false
"0baf1697-4f58-476e-8c6e-fed56dd63109",12,Alien Invasion Mini-Mega,1,0,11,3,0,1,"167",3,2025-03-28 07:16:16.574 -0400,,false,false
"0e7390a6-cfe1-4564-b522-6494497000cc",13,Dark Christmas,0,0,7,2,0,2,"10",3,2025-03-28 07:16:16.543 -0400,,false,false
